epoch: 6, nrg_mae: 18.133331298828125 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 18.05792236328125 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.926570892333984 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.707712173461914 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.444677352905273 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.485502243041992 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.768747329711914 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.67399024963379 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.468202590942383 meV/atom, force_mae: 0 meV/AA
epoch: 6, nrg_mae: 17.63300323486328 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.63300323486328 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.61231803894043 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.609241485595703 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.632646560668945 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.630033493041992 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.585081100463867 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.532257080078125 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.43917465209961 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.39378547668457 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.21160888671875 meV/atom, force_mae: 0 meV/AA
epoch: 7, nrg_mae: 17.102834701538086 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 17.102834701538086 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.67645835876465 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.84726905822754 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.659133911132812 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.524967193603516 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.323745727539062 meV/atom, force_mae: 0 meV/AA
epoch: 8, nrg_mae: 16.23058319091797 meV/atom, force_mae: 0 meV/AA
